ID,Titulo,Genero,Lançamento,Duração,Nota,MetaScore,Votos,Faturamento,Sinopse
83,Beleza Americana,Drama,1999,122,8.3,84,1174568,130.10,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
84,Intriga Internacional,"Action, Adventure, Mystery            ",1959,136,8.3,98,334960,13.28,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
85,2001: Uma Odisséia no Espaço,"Adventure, Sci-Fi            ",1968,149,8.3,84,686462,56.95,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
86,Brilho Eterno de uma Mente sem Lembranças,"Drama, Romance, Sci-Fi            ",2004,108,8.3,89,1032510,34.40,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
87,"Star Wars, Episódio VI: O Retorno do Jedi","Action, Adventure, Fantasy            ",1983,131,8.3,58,1079071,309.13,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
88,Era uma Vez na América,"Crime, Drama            ",1984,229,8.3,75,360827,5.32,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
89,Coração Valente,"Biography, Drama, History            ",1995,178,8.3,68,1056781,75.60,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
90,A Caça,Drama,2012,115,8.3,77,342133,0.69,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
91,Toy Story,"Animation, Adventure, Comedy            ",1995,81,8.3,96,1019937,191.80,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
92,Cães de Aluguel,"Crime, Thriller            ",1992,99,8.3,81,1044207,2.83,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
93,Toy Story 3,"Animation, Adventure, Comedy            ",2010,103,8.3,92,856385,415.00,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
94,Lawrence da Arábia,"Adventure, Biography, Drama            ",1962,218,8.3,100,301543,44.82,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
95,Princesa Mononoke,"Animation, Action, Adventure            ",1997,134,8.3,76,407468,2.38,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
96,Cidadão Kane,"Drama, Mystery            ",1941,119,8.3,100,451118,1.59,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
97,Cantando na Chuva,"Comedy, Musical, Romance            ",1952,103,8.3,99,249309,8.82,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
98,"M, o Vampiro de Dusseldorf","Crime, Mystery, Thriller            ",1931,117,8.3,NA,161846,0.03,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
99,Viver,Drama,1952,143,8.3,92,81970,0.06,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
